id,character_id,jutsu_1,jutsu_2,jutsu_3,jutsu_4,jutsu_5,jutsu_6,jutsu_7,jutsu_8,jutsu_9,jutsu_10,jutsu_11,jutsu_12,jutsu_13,jutsu_14,jutsu_15,jutsu_16,jutsu_17,jutsu_18,jutsu_19,jutsu_20,jutsu_21,jutsu_22,jutsu_23,jutsu_24,jutsu_25,jutsu_26,jutsu_27,jutsu_28,jutsu_29,jutsu_30,jutsu_31,jutsu_32,jutsu_33,jutsu_34,jutsu_35,jutsu_36,jutsu_37,jutsu_38,jutsu_39,jutsu_40,jutsu_41,jutsu_42,jutsu_43,jutsu_44,jutsu_45,jutsu_46,jutsu_47,jutsu_48,jutsu_49,jutsu_50,jutsu_51,jutsu_52,jutsu_53,jutsu_54,jutsu_55,jutsu_56,jutsu_57,jutsu_58,jutsu_59,jutsu_60,jutsu_61,jutsu_62,jutsu_63,jutsu_64,jutsu_65,jutsu_66,jutsu_67,jutsu_68,jutsu_69,jutsu_70,jutsu_71,jutsu_72,jutsu_73,jutsu_74,jutsu_75,jutsu_76,jutsu_77,jutsu_78,jutsu_79,jutsu_80,jutsu_81,jutsu_82,jutsu_83,jutsu_84,jutsu_85,jutsu_86,jutsu_87,jutsu_88,jutsu_89,jutsu_90,jutsu_91,jutsu_92,jutsu_93,jutsu_94
114,1120,Fire Release: Running Fire,Mysterious Storm Technique,Water Attacking Gorgon,Water Release: Rising Water Slicer,Water Release: Water Dragon Whip,Water Replacement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,1123,Corpse Clone Technique,Moon Shadow Technique (Anime only),Pink Lightning (Anime only),Shadow Sword (Anime only),Wind Release: Shield of the Wind Count,Wind Release: Sword of the Wind Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,1310,Afterimage Clone (Anime only),Body Flicker Technique,Fire Release: Great Fireball Technique (Anime only),Genjutsu: Sharingan (Anime only),Kotoamatsukami,Summoning Technique (Crow),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,1426,Chakra Transfer Technique,Mayfly,Parasite Clone,Regeneration Ability,Spore Technique,Substitute Technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,1279,Kido's Juinjutsu,Lightning Release: Shadow Clone Technique,Lightning Release: Thunder,Lightning Release: Tiger Scissors,Shadow Clone Technique,Tailed Beast Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,5,Black Lightning,Body Flicker Technique,Hell Stab,Lightning Release Chakra Mode,Lightning Straight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,15,Assassination Technique (Anime only),Insect Clone Technique (Anime only),Jar of Poison Technique (Anime only),"Parasitic Destruction Insect Technique (Kikaichū, Rinkaichū)",Poison Cloud Technique (Anime only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,72,Earth Release: Dropping Lid,Earth Release: Hiding in Rock Technique (Anime only),Earth Release: Sticky Earth Drop (Anime only),Shadow Clone Technique (Anime only),Temporary Paralysis Technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,124,Continuous Tailed Beast Balls (Anime only),Lightning Release: Lariat (Anime only),Sensing Technique (Anime only),Tailed Beast Ball (Anime only),Tailed Beast Chakra Arms (Anime only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,161,Ostrich Aerial,Ostrich Meteor Blast,Ostrich Rising Dragon Bullet,Ostrich Whirlwind Attack,Shining Ostrich Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,192,Carbon Armour,Carbon Control,Carbon Ring,Carbon Whip,Genjutsu Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,224,Altering Terrain Technique,Barrier Gate Five Seals Technique: Castle Closing Eight Gates,Earth Release: Hiding in Rock Technique,Earth Release: Rock Section Cane,Poison Moth Genjutsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,261,Combination Transformation,Fire Release: Toad Oil Flame Bullet,Toad Oil Bullet,Toad Sword Beheading,Water Release: Gunshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,271,Toad Oil Bullet (Anime only),Water Release: Water Gun (Anime only),Wind Release: Toad Gun (Anime only),Wind Release: Toad Oil Bullet (Anime only),Wind Release: Toad Oil Flame Bullet (Anime only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,327,Earth Release: Demonic Rock Spider Armour,Earth Release: Earth Corridor,Earth Release: Stamping Rock Explosion Technique,Earth Release: Tracking Projectiles Technique,Fire Release: Running Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,363,Boil Release: Unrivalled Strength,Erupting Propulsion Fist,Erupting Strong Foot,Horn Breaking,Tailed Beast Chakra Arms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,356,Certain-Kill Ice Spears (Anime only),Demonic Mirroring Ice Crystals,Ice Release: Ice Rock Dome of Magnificent Nothingness,Silent Killing,Thousand Flying Water Needles of Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,574,Conch Cannon,Conch Whip,Summoning Technique (Conch King),Water Release Genjutsu: Demonic Phantom Fog Prison,Water Release: Hiding in Water Technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,568,Lightning Release: Elekiter (Anime only),Lightning Release: Lightning Slash (Anime only),Lightning Release: Overdrive (Anime only),Multiple String Light Formation (Anime only),String Light Formation (Anime only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,628,Binding Smoke Prison,Destroying Smell Smoke Prison,Exploding Flame Shot,Multiple Smoke Clone,Smoke Clone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,635,Flower Ninja Art,Flower Ninja Art: Many Blooming Flowers,Flower Ninja Art: Many Releasing Flowers,Flower Ninja Art: Mirror Flower Water,Flower Shuriken: Falling Blossoms and Scattering Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,719,Flash,Iaidō,Mifune-Style First Tachi: Blaze,Samurai Sabre Technique,Secret Sword: Snowstorm Beheading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,718,Hiding in Mist Technique,Manipulated Shuriken Technique,Ninja Art: Infinite Sea Watchtower,Secret Technique: Tree Blood Barrier,Tracking Technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,844,Dust Release: Detachment of the Primitive World Technique,Dustless Bewildering Cover,Earth Release: Light-Weight Rock Technique,Fission Technique,Sensing Technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,845,Earth Release: Underground Projection Fish Technique,Haze Clone Technique,Mist Servant Technique,Sly Mind Affect Technique,Water Clone Technique (Anime only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,847,Fire Release: Great Fire Heavenly Prison,Fire Release: Heavenly Prison,Grass Shadow-Style Emit Destroy Palm,Heavenly Prison Fire Sword,Summoning Technique (Hōzuki Castle's Ninken),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,854,Heart Acceleration Technique (Novel only),Mist Servant Technique (Novel only),Water Release: Hail Barrage (Novel only),Water Release: Water Weapons (Novel only),Water Release: Water Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,939,Daikokuten,Disruption Cube,Genjutsu Communication,Kāma Rift,Sukunahikona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,975,Lightning Release: Depth Charge (Anime only),Lightning Release: Lightning Fang (Anime only),Lightning Release: Thunder Gate (Anime only),Silent Killing,Thunderswords Technique: Thunderbolt (Anime only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,1055,Earth Release: Earth Flow Wave,Earth Release: Mud Wolves,Earth Release: Shadow Clone,Shadow Clone Technique,Violent Heavenly Earth Needle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,1082,Summoning Technique (Novel only),Takigakure Style: Watercutting Sword,Tornado of Water (Anime only),Water Release: Water Bullet Technique (Anime only),Water Release: Water Dragon Bullet Technique (Anime only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,1135,Beast Tearing Gale Palm,Beast Tearing Palm,Flying Swallow,Tailed Beast Chakra Arms,Tailed Beast Shockwave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,1144,Fire Release: Crimson Earth Spider,Fire Release: Flame Whirlwind,Fire Release: Great Fireball Technique,Net-Shaped Prison,Summoning Technique (Spider),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,1337,Dance of the Crescent Moon (Anime only),Enclosing Technique (Anime only),Hazy Moon Night (Anime only),Sensing Technique (Anime only),Shadow Clone Technique (Anime only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,80,Barrier Talisman: Armoured Eye,Sensing Technique,Sensing Water Sphere,Water Release: Water Colliding Wave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,62,Medical Water Release: Jellyfish,Medical Water Release: Water Mosquito,Medical Water Release: Water Scorpion,Mystical Palm Technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,55,Kaima Form,Scale Senbon,Summoning Technique (Umibōzu),Water Release: Large Projectile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,125,Genjutsu Communication,Lava Release: Planet-Branding Blast,Self-Healing Technique,Water Release: Water Formation Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,119,Fire Release: Flame Bullet,Fire Release: Flame Capture,Fire Release: Heavenly Prison,Summoning Technique (Hōzuki Castle's Ninken),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,143,Puppet Technique,Sealing Technique: Lion Closing Roar,Three Jewels Suction Crushing,White Secret Technique: The Chikamatsu Collection of Ten Puppets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,159,Claw Grime (Manga only),Claw Mark,Genjutsu Communication,Kāma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,199,Lava Release: Rubber Ball,Lava Release: Rubber Defence,Lava Release: Rubber Rope,Lava Release: Rubber Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,293,Dance of the Crescent Moon,Secret Sword: Moonlight (Anime only),Shadow Clone Technique,Transparent Escape Technique (Anime only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,328,Chakra Transfer Technique (Anime only),Multiple String Light Formation (Anime only),Mystical Palm Technique (Anime only),String Light Formation (Anime only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,339,Body Alteration,Earth Release: Hiding Like a Mole Technique,Earth Release: Mud Body Technique,Mudshot Technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,368,Dance of the Sickle Blade: Falling Descent Blade,Fire Release: Exploding Flame Formation,Summoning Technique (Ibuse),Summoning: Ibuse Poisoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,404,Chakra Levitation Technique,Chakra Slicers,Summoning Technique (Nuiba),Yomito's Transformation Technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,413,Dharma Power Barrier: Auspicious Sign,Dharma Power Seal,Dharma Power Sealing Technique: Sen no Rikyū,Dharma Power: Silhouette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,450,Chimera Technique,Snake Steel Net,Spinning Snake Thorn,Summoning: Dual-Headed Snakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,553,Dust Release: Detachment of the Primitive World Technique,Earth Release: Earth-Style Wall,Earth Release: Opening Earth Rising Excavation,Rock Clone Technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,598,Earth Release: Earth-Style Wall,Earth Release: Multiple Earth-Style Wall,Lava Release: Rubber Ball,Lava Release: Rubber Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,608,Chakra Transfer Technique,Katsuyu: Immense Network Healing,Slug Great Division,Tongue Tooth Sticky Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,649,Water Clone Technique (Novel only),Water Release: Rapid Thunder Whip Technique (Novel only),Water Release: Water Weapons (Novel only),Water Release: Water Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,668,Mental Resistance Technique (Anime only),Multiple String Light Formation (Anime only),Quarantine Wall (Anime only),String Light Formation (Anime only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,704,Ninja Tools Barrier: Reverse Fish Scales Formation,Rotating Ferocious Wind,Wind Cutter Technique,Wind Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,757,Crystal Barrier Technique,Puppet Technique,Self-Seal Technique,Spirit Reflection Technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,912,Genjutsu Communication,Lightning Release: Lightning Eel,Lightning Release: Thunder Wedge,Puppet Technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,909,Casualty Puppet,Hiding with Camouflage Technique,Soft Physique Modification,Viscous Water Mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,938,Genjutsu: Sharingan (Anime only),Hinokagutsuchi (Anime only),Sensing Technique (Anime only),Susanoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,967,Air Gold Dust Protective Wall,Magnet Release: Gold Dust Imperial Funeral,Third Eye,Water Release: Water Blade Technique (Novel only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,986,Ice Release: Crystal Wall,Ice Release: Frozen Capturing Field,Ice Release: Ten Thousand Ice Petals,Ice Release: Whirlwind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,1003,Earth Release: Earth-Style Wall,Earth Release: Hardening Technique,Earth Release: Hiding in Rock Technique,Earth Release: Mudslide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,1048,Cursed Sand Puppet Technique,Hiding in Surface Technique,Puppet Imitation Technique,Puppet Technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,1074,Mysterious Storm Technique,Wind Release: Divine Mountain Wind,Wind Release: Divine Wind,Wind Release: Rotating Shuriken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,1115,Blinding Wide Sand Formation: Noise,Polarised Sand Formation: Hot Sand Camouflage,Sand Formation: Shisa,Sensing Hexagram Seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,1166,Calling on Tears Technique (Anime only),Multiple String Light Formation (Anime only),String Light Formation (Anime only),Water Release: Wild Water Wave (Anime only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,1179,Earth Release: Fighting Blade Rod (Anime only),Mental Resistance Technique (Anime only),Multiple String Light Formation (Anime only),String Light Formation (Anime only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,1197,Chakra Shockwave Slash,Iaidō,Rupture,Samurai Sabre Technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,1274,Sealing Technique: Vitality Seal Formation,Sealing Trap Explosion,Secret Technique: Sealing Release,Temple of Nirvana Technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,1342,Great Spiralling Ring,Nine Masked Beasts,Repulsion Technique,Spiralling Ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,1345,Spear of Heaven Nine-Tails Beam,Tailed Beast Ball,Tailed Beast Chakra Arms,Tailed Beast Shockwave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,1364,Assassination Technique,Mind Body Switch Technique,Mind Puppet Switch Cursed Seal Technique,Sensing Technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,1427,Fire Release: Fired Pottery Technique (Anime only),Lightning Release: Four Pillar Bind,Lightning Release: Sixteen Pillar Bind (Anime only),Time Reversal Technique (Anime only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,63,Mud Release: Bottomless Mud Hole,Mud Release: Landslide,Mud Release: Mud Doll,Mud Release: Muddy Water Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,835,Summoning Technique,Summoning: Iron Maiden (Anime only),Summoning: Torture Chamber (Anime only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,1325,Demonic Illusion: Hell Viewing Technique (Anime only),Sealed Binding Formation (Anime only),String Light Formation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,38,Calorie Control,Multi-Size Technique,Partial Multi-Size Technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,46,Calorie Control,Multi-Size Technique,Partial Multi-Size Technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,57,Chakra Levitation Technique,Tailed Beast Replication,Telescope Technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,58,Lightning Tackle,Poison Mist,Taisa's Transformation Technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,73,Hiding in Surface Technique (Anime only),Temporary Paralysis Technique,Water Clone Technique (Anime only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,77,Fire Release: Fire Dragon Wall,Fire Release: Great Fireball Technique,Fire Release: Phoenix Sage Fire Technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,133,Odour-Concealing Bubbles,Shifting Body Technique,Smell Sphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,146,Destruction of Evil Seal (Anime only),Sealed Iron Wall,Welcoming Approach: Thousand-Armed Murder (Anime only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,157,Hiding in Frost Technique (Anime only),Sensing Technique,Silent Killing (Anime only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,160,Conch Cannon,Conch Whip,Water Release Genjutsu: Demonic Phantom Fog Prison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
